Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,P1,P2,Time,DQ_P1_Robbie,DQ_P2_Robbie,KT_P1_Scott,KT_P2_Scott,KB_P1_Scott,KB_P2_Scott,MC_P1_Scott,MC_P2_Scott,SQ_P2_Sarah,SQ_P1_Sarah
00:18:58.425,00:18:59.323,yeah so yeah,,,,,CF,,,,,,,
00:18:59.323,00:19:04.511,because there is two ones I really want one,,,,,,,ER,,,,,
00:19:04.511,00:19:07.016,,what just happened,,,,,,,,,,OSQ,
00:19:07.016,00:19:07.534,wait a minute,,,,,,,,,,,,
00:19:07.534,00:19:16.255,so would you really want to so wait which side would you want to have your y on before you do this,,,AH,,,,,,,,,
00:19:18.090,00:19:20.455,,pause filler I guess this side,,,,,SP,,,,,,
00:19:20.455,00:19:22.091,,like this side over here,,,,,SP,,,,,,
00:19:23.329,00:19:26.252,oh so for that you'd have to subtract the y pause filler,,,,,SP,,,,,,,
00:19:26.761,00:19:31.600,no so that would be harder than adding the y over here,,,,,SP,,,,,,,
00:19:31.600,00:19:36.339,because I guess if you add it over here then you would get pause filler,,,,,,,ER,,,,,
00:19:36.339,00:19:36.519,oh wait (inaudible),,,,,,,,,,,,
00:19:36.668,00:19:37.327,huh huh,,,,,,,,,,,,
00:19:38.215,00:19:46.197,I guess it doesn't make a difference,,,,,,,,ER,,,,
00:19:46.197,00:19:51.714,but the y would be you'd have the negative y if you do it this way,,,,,SP,,,,,,,
00:19:51.714,00:19:54.558,or you have a positive y if you did it that way,,,,,SP,,,,,,,
00:19:55.286,00:19:57.690,so that yeah it doesn't matter that much,,,,,SP,,,,,,,
00:19:57.910,00:19:59.017,so I guess yeah,,,,,,,,,,,,
00:19:59.975,00:20:03.557,,just work through the first step really quick because I'm confused just,,,,,SP,,,,,,
00:20:03.557,00:20:04.226,,I'm sorry,,,,,,,,,,,
00:20:05.014,00:20:07.079,yeah pause filler,,,,,,,,,,,,
00:20:07.209,00:20:14.193,yeah not subtracting sixty-one I mean this one is like a smaller one so I mean,,,,,SP,,,,,,,
00:20:14.193,00:20:19.451,usually we'll do the one that was smaller but it doesn't matter exactly,,,,,SP,,,,,,,
00:20:22.404,00:20:23.861,,well this one is smaller right,,,,,,,,,,CA,
00:20:23.901,00:20:24.709,,oh yeah so,,,,,,,,,,,
00:20:24.709,00:20:30.386,I mean when I add the sixty-five just sixty-one yeah,,,,,SP,,,,,,,
00:20:32.192,00:20:34.048,,all right so twenty-five,,,,,SP,,,,,,
00:20:39.046,00:20:39.865,eight-six,,,,,,,,,,,,
00:20:39.954,00:20:40.274,,yeah,,,,,CF,,,,,,
00:20:54.671,00:20:55.310,okay,,,,,,,,,,,,
00:20:55.679,00:20:57.205,,oh wait no that's equals,,,,,SP,,,,,,
00:20:57.554,00:20:58.762,,oh my gosh,,,,,,,,,,,
00:20:59.360,00:20:59.969,,I'll just,,,,,,,,,,,
00:21:00.418,00:21:06.594,,and then pause filler,,,,,,,,,,,
00:21:10.026,00:21:21.480,,so then you would sub you would oh so how do you add this then,,,,,,,,,,RS,
00:21:21.480,00:21:22.228,,because it's like,,,,,,,,,,,
00:21:22.997,00:21:23.476,oh wait,,,,,,,,,,,,
00:21:23.476,00:21:28.105,so you want to get rid of the wait so now you want to subtract the y right,,,,,,,,,,,,CA
00:21:28.105,00:21:30.001,because you only have y on one side,,,,,,,ER,,,,,
00:21:30.549,00:21:32.874,and so if you got rid of that y,,,,,SP,,,,,,,
00:21:32.874,00:21:36.167,then you would have like a zero so,,,,,SP,,,,,,,
00:21:36.925,00:21:43.929,,so would that be negative six over six y then,,,,,,,,,,CA,
00:21:43.929,00:21:44.049,pause filler six,,,,,,,,,,,,
00:21:44.049,00:21:44.258,wait,,,,,,,,,,,,
